hole_id,east,north,elevation,from,to,final_depth,sample_length,dip_direction,dip,cu_perc,lithology,hole_radius
DH-101,8148.19097628,243692.00698974,705.67904035,10.7,15.7,110.25,5,155.89085685,57.9354987,0.61,TnP,1
DH-101,8149.10099678,243689.92165984,702.09063773,15.7,19.2,110.25,3.5,157.17012038,57.17266103,0.44,TnP,1
DH-101,8151.61492321,243683.5411428,691.81345315,27.3,32.3,110.25,5,159.30704509,55.5436881,0.45,TnP,1
DH-101,8152.61319244,243680.87250074,687.70390664,32.3,37.3,110.25,5,159.67143861,54.98702407,0.59,TnP,1
DH-101,8154.90786109,243674.56352677,678.30954862,43.85,48.85,110.25,5,160.368344,53.87450748,1.37,GnP,1
DH-101,8155.89650157,243671.7686557,674.28490661,48.85,53.85,110.25,5,160.66913231,53.37398833,1.01,GnP,1
DH-101,8156.8819145,243668.93627505,670.28729407,53.85,58.85,110.25,5,160.96258434,52.87332448,1.32,GnP,1
DH-101,8157.84964896,243666.10918837,666.37495796,58.85,63.7,110.25,4.85,161.24713838,52.37583987,1.34,GnP,1
DH-102,8202.7078624,243678.8957551,689.53468782,11,15.2,105.1,4.2,153.72643128,55.81660873,0.3,TnP,1
DH-102,8204.14673751,243675.93848891,684.85524374,17.5,20.15,105.1,2.65,154.36905764,53.97975705,0.36,TnP,1
DH-102,8206.54866054,243670.84304328,677.47871303,25.6,30.6,105.1,5,154.80267268,51.81641635,0.67,TnP,1
DH-102,8207.81624485,243668.16688468,673.73218351,30.6,35.15,105.1,4.55,154.49389062,51.5254384,0.57,TnP,1
DH-103,8229.57085028,243729.00107913,687.2183045,7,12,101.1,5,152.00000106,55.82383478,0.6,TnP,1
DH-103,8233.95888018,243720.74839516,675.06177898,22.35,27.35,101.1,5,152.00000106,49.02186674,0.72,TnP,1
DH-104,8297.09073571,243700.83587043,654.5001457,25.85,30,79.85,4.15,154.00000109,49.00000084,0.45,TnP,1
DH-105,8122.17043612,243741.40033556,742.27706025,2.9,7.4,159.5,4.5,152.67457757,59.18233771,0.56,TnP,1
DH-105,8124.64894811,243736.46553303,733.32086755,13.8,17.55,159.5,3.75,153.95841765,57.49987606,0.96,TnP,1
DH-105,8126.88654359,243731.7748429,725.39724038,22.65,27.65,159.5,5,154.99655436,55.98204744,0.69,TnP,1
DH-105,8127.91789295,243729.56806764,721.82079823,27.65,31.3,159.5,3.65,154.88884639,55.41245881,0.83,TnP,1
DH-105,8130.19028755,243724.74032639,714.22982061,36.25,41.25,159.5,5,154.69637731,54.35185942,0.63,TnP,1
DH-105,8131.44734431,243722.08778002,710.18221562,41.25,46.25,159.5,5,154.59131081,53.74864756,0.54,GnP,1
DH-105,8133.66097209,243717.4459313,703.29909055,50.8,53.9,159.5,3.1,154.41875648,52.71876892,0.66,GnP,1
DH-105,8137.93219615,243708.58439576,690.81390443,66.7,69.8,159.5,3.1,154.11953901,50.80951567,0.62,GnP,1
DH-105,8142.73823353,243698.56320613,677.66920815,82.95,87.95,159.5,5,155.18568382,48.71563243,0.68,MzP,1
DH-106,8053.22737717,243678.07596174,751.60659143,37.4,42.4,163.1,5,154.33445801,50.6220021,1.14,GnP,1
DH-106,8054.6176532,243675.19633184,747.76579051,42.4,47.4,163.1,5,154.12501439,49.8190939,1.15,GnP,1
DH-106,8056.04080837,243672.27541458,743.97233793,47.4,52.4,163.1,5,153.92324141,49.0191706,1.56,GnP,1
DH-106,8057.4970771,243669.31265234,740.22521458,52.4,57.4,163.1,5,153.72786071,48.2189382,0.74,GnP,1
DH-106,8058.98659365,243666.307763,736.52402871,57.4,62.4,163.1,5,153.53861505,47.4188975,0.89,GnP,1
DH-106,8060.35491033,243663.56813177,733.23095715,62.4,66.4,163.1,4,153.36325401,46.65490479,0.59,GnP,1
DH-106,8063.27248057,243657.79081121,726.54026473,71.2,76.2,163.1,5,153.03071688,45.14382213,0.63,GnP,1
DH-106,8068.43337119,243647.78562437,715.5861558,86.9,91.9,163.1,5,152.38453926,43.27666654,0.89,MzP,1
DH-106,8070.13448865,243644.54808746,712.17854693,91.9,96.9,163.1,5,152.17834283,42.67568642,0.63,MzP,1
DH-106,8073.54971456,243638.13158297,705.61696497,102.15,106.25,163.1,4.1,151.80276361,41.54943986,0.6,MzP,1
DH-106,8076.19720071,243633.22515476,700.75756214,110,113.2,163.1,3.2,151.49972759,40.6102349,0.61,MzP,1
DH-106,8079.07465933,243627.95814124,695.69633258,117,121.9,163.1,4.9,151.20400509,39.66672987,0.67,MzP,1
DH-107,7902.75566533,243676.44745058,837.00706146,19.8,24.8,203.6,5,154.71996621,54.65030996,0.63,TnP,1
DH-107,7904.00012651,243673.79162977,832.95309772,24.8,29.8,203.6,5,155.06178145,53.58093106,0.77,TnP,1
DH-107,7905.26621446,243671.07270266,828.94358897,29.8,34.8,203.6,5,155.00000111,52.82335859,0.82,TnP,1
DH-107,7906.5551543,243668.30856225,824.97921707,34.8,39.8,203.6,5,155.0000011,52.03189057,0.96,TnP,1
DH-107,7907.86566752,243665.49815759,821.0622474,39.8,44.8,203.6,5,155.0000011,51.23288651,0.64,GnP,1
DH-107,7909.1987445,243662.63936477,817.19010199,44.8,49.8,203.6,5,155.00000112,50.4331223,0.67,GnP,1
DH-107,7910.55452326,243659.73188784,813.36241787,49.8,54.8,203.6,5,155.00000111,49.6330652,0.59,GnP,1
DH-107,7911.93314377,243656.77542661,809.57883702,54.8,59.8,203.6,5,155.0000011,48.83318346,0.56,GnP,1
DH-107,7913.3347478,243653.76967709,805.83900696,59.8,64.8,203.6,5,155.00000111,48.03394436,1.06,GnP,1
DH-107,7914.75947865,243650.7143319,802.14258116,64.8,69.8,203.6,5,155.0000011,47.23581225,1,GnP,1
DH-107,7916.21253711,243647.60909609,798.48904321,69.8,74.8,203.6,5,154.8479418,46.40677219,1.67,GnP,1
DH-107,7917.66950138,243644.449644,794.87954344,74.8,79.8,203.6,5,155.6342132,45.69763003,1.21,MzP,1
DH-107,7919.08170971,243641.22748735,791.31744896,79.8,84.8,203.6,5,157.02492602,45.01043242,1.13,MzP,1
DH-107,7920.20628842,243638.52554815,788.40934594,84.8,88.05,203.6,3.25,157.97830664,44.51965737,1.05,MzP,1
